"COMMON_NAME","SCIENTIFIC_NAME","CATEGORY","order","family","scientific name"
"Clay-colored Sparrow","Spizella pallida","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Spizella pallida"
"Worm-eating Warbler","Helmitheros vermivorum","species","Passeriformes","Parulidae (New World Warblers)","Helmitheros vermivorum"
"Black Tern","Chlidonias niger","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Chlidonias niger"
"Short-eared Owl","Asio flammeus","species","Strigiformes","Strigidae (Owls)","Asio flammeus"
"Muscovy Duck","Cairina moschata","domestic","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cairina moschata"
"Purple Gallinule","Porphyrio martinica","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Porphyrio martinica"
"LeConte's Sparrow","Ammodramus leconteii","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Ammodramus leconteii"
"Magnificent Frigatebird","Fregata magnificens","species","Suliformes","Fregatidae (Frigatebirds)","Fregata magnificens"
"Northwestern Crow","Corvus caurinus","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus caurinus"
"Brown-crested Flycatcher","Myiarchus tyrannulus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus tyrannulus"
"King Rail","Rallus elegans","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rallus elegans"
"Egyptian Goose","Alopochen aegyptiaca","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Alopochen aegyptiaca"
"White-tailed Hawk","Geranoaetus albicaudatus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Geranoaetus albicaudatus"
"American Golden-Plover","Pluvialis dominica","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Pluvialis dominica"
"Brown Noddy","Anous stolidus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Anous stolidus"
"Sooty Tern","Onychoprion fuscatus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Onychoprion fuscatus"
"Nelson's Sparrow","Ammodramus nelsoni","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Ammodramus nelsoni"
"Sharp-tailed Grouse","Tympanuchus phasianellus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Tympanuchus phasianellus"
"Chihuahuan Raven","Corvus cryptoleucus","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus cryptoleucus"
"Alder Flycatcher","Empidonax alnorum","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax alnorum"
"Burrowing Owl","Athene cunicularia","species","Strigiformes","Strigidae (Owls)","Athene cunicularia"
"Cordilleran Flycatcher","Empidonax occidentalis","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax occidentalis"
"Scott's Oriole","Icterus parisorum","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus parisorum"
"White-eared Hummingbird","Hylocharis leucotis","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Hylocharis leucotis"
"Sooty Shearwater","Ardenna grisea","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna grisea"
"Buff-breasted Sandpiper","Calidris subruficollis","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris subruficollis"
"Nanday Parakeet","Aratinga nenday","species","Psittaciformes","Psittacidae (New World and African Parrots)","Aratinga nenday"
"White-winged Crossbill","Loxia leucoptera","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Loxia leucoptera"
"Pinyon Jay","Gymnorhinus cyanocephalus","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Gymnorhinus cyanocephalus"
"Common Pauraque","Nyctidromus albicollis","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Nyctidromus albicollis"
"Philadelphia Vireo","Vireo philadelphicus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo philadelphicus"
"White-tipped Dove","Leptotila verreauxi","species","Columbiformes","Columbidae (Pigeons and Doves)","Leptotila verreauxi"
"Rivoli's Hummingbird","Eugenes fulgens","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Eugenes fulgens"
"Green-tailed Towhee","Pipilo chlorurus","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Pipilo chlorurus"
"Mountain Quail","Oreortyx pictus","species","Galliformes","Odontophoridae (New World Quail)","Oreortyx pictus"
"Buff-bellied Hummingbird","Amazilia yucatanensis","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Amazilia yucatanensis"
"Rose-throated Becard","Pachyramphus aglaiae","species","Passeriformes","Tityridae (Tityras and Allies)","Pachyramphus aglaiae"
"Short-tailed Hawk","Buteo brachyurus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo brachyurus"
"Long-eared Owl","Asio otus","species","Strigiformes","Strigidae (Owls)","Asio otus"
"Lark Bunting","Calamospiza melanocorys","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Calamospiza melanocorys"
"Bendire's Thrasher","Toxostoma bendirei","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma bendirei"
"Rufous-winged Sparrow","Peucaea carpalis","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Peucaea carpalis"
"Plain Chachalaca","Ortalis vetula","species","Galliformes","Cracidae (Guans, Chachalacas, and Curassows)","Ortalis vetula"
"Gray Hawk","Buteo plagiatus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo plagiatus"
"Rufous-crowned Sparrow","Aimophila ruficeps","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Aimophila ruficeps"
"Arctic Tern","Sterna paradisaea","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sterna paradisaea"
"Sage Thrasher","Oreoscoptes montanus","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Oreoscoptes montanus"
"Red-crowned Parrot","Amazona viridigenalis","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona viridigenalis"
"Pine Grosbeak","Pinicola enucleator","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Pinicola enucleator"
"Barnacle Goose","Branta leucopsis","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta leucopsis"
"Cassin's Sparrow","Peucaea cassinii","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Peucaea cassinii"
"Ringed Kingfisher","Megaceryle torquata","species","Coraciiformes","Alcedinidae (Kingfishers)","Megaceryle torquata"
"Clay-colored Thrush","Turdus grayi","species","Passeriformes","Turdidae (Thrushes and Allies)","Turdus grayi"
"Hepatic Tanager","Piranga flava","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga flava"
"California Gnatcatcher","Polioptila californica","species","Passeriformes","Polioptilidae (Gnatcatchers)","Polioptila californica"
"Smith's Longspur","Calcarius pictus","species","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius pictus"
"Red-cockaded Woodpecker","Picoides borealis","species","Piciformes","Picidae (Woodpeckers)","Picoides borealis"
"Whooping Crane","Grus americana","species","Gruiformes","Gruidae (Cranes)","Grus americana"
"Common Murre","Uria aalge","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Uria aalge"
