COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Chihuahuan Raven,Corvus cryptoleucus,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus cryptoleucus,N
Chimney Swift,Chaetura pelagica,species,Caprimulgiformes,Apodidae (Swifts),Chaetura pelagica,N
Chipping Sparrow,Spizella passerina,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Spizella passerina,N
Chuck-will's-widow,Antrostomus carolinensis,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Antrostomus carolinensis,N
Chukar,Alectoris chukar,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Alectoris chukar,E
Cinnamon Teal,Spatula cyanoptera,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spatula cyanoptera,N
Clapper Rail,Rallus crepitans,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus crepitans,N
Clark's Grebe,Aechmophorus clarkii,species,Podicipediformes,Podicipedidae (Grebes),Aechmophorus clarkii,N
Clark's Nutcracker,Nucifraga columbiana,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Nucifraga columbiana,N
Clay-colored Sparrow,Spizella pallida,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Spizella pallida,N
Clay-colored Thrush,Turdus grayi,species,Passeriformes,Turdidae (Thrushes and Allies),Turdus grayi,N
Cliff Swallow,Petrochelidon pyrrhonota,species,Passeriformes,Hirundinidae (Swallows),Petrochelidon pyrrhonota,N
Colima Warbler,Oreothlypis crissalis,species,Passeriformes,Parulidae (New World Warblers),Oreothlypis crissalis,N
Collared Plover,Charadrius collaris,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius collaris,N
Common Black Hawk,Buteogallus anthracinus,issf,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteogallus anthracinus,N
Common Eider,Somateria mollissima,issf,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria mollissima,N
Common Gallinule,Gallinula galeata,species,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Gallinula galeata,N
Common Goldeneye,Bucephala clangula,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala clangula,N
Common Grackle,Quiscalus quiscula,species,Passeriformes,Icteridae (Troupials and Allies),Quiscalus quiscula,N
Common Greenshank,Tringa nebularia,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa nebularia,N
Common Ground-Dove,Columbina passerina,species,Columbiformes,Columbidae (Pigeons and Doves),Columbina passerina,N
Common Hill Myna,Gracula religiosa,species,Passeriformes,Sturnidae (Starlings),Gracula religiosa,E
Common Loon,Gavia immer,species,Gaviiformes,Gaviidae (Loons),Gavia immer,N
Common Merganser,Mergus merganser,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus merganser,N
Common Myna,Acridotheres tristis,species,Passeriformes,Sturnidae (Starlings),Acridotheres tristis,E
Common Nighthawk,Chordeiles minor,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Chordeiles minor,N
Common Pauraque,Nyctidromus albicollis,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nyctidromus albicollis,N
Common Pochard,Aythya ferina,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya ferina,N
Common Poorwill,Phalaenoptilus nuttallii,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Phalaenoptilus nuttallii,N
Common Raven,Corvus corax,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus corax,N
Common Redpoll,Acanthis flammea,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Acanthis flammea,N
Common Ringed Plover,Charadrius hiaticula,species,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius hiaticula,N
Common Tern,Sterna hirundo,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna hirundo,N
Common Yellowthroat,Geothlypis trichas,species,Passeriformes,Parulidae (New World Warblers),Geothlypis trichas,N
Connecticut Warbler,Oporornis agilis,species,Passeriformes,Parulidae (New World Warblers),Oporornis agilis,N
Cooper's Hawk,Accipiter cooperii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter cooperii,N
Cordilleran Flycatcher,Empidonax occidentalis,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax occidentalis,N
Costa's Hummingbird,Calypte costae,species,Caprimulgiformes,Trochilidae (Hummingbirds),Calypte costae,N
Couch's Kingbird,Tyrannus couchii,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus couchii,N
Crested Caracara,Caracara cheriway,species,Falconiformes,Falconidae (Falcons and Caracaras),Caracara cheriway,N
