NAME10,0,Green_Area,12,Open_urban,Low_intensity_Developed,Medium_high_intensity_Developed,Medium_high_intensity_Developed,Open_urban,Green_Area,Green_Area,Green_Area,Green_Area,Agriculture,Agriculture,Agriculture,Green_Area,Green_Area,Total_Green_Area,Total_Agriculture,Total_Open_Urban,Total_Low_Intensity_Developed,Total_Medium_High_Intensity_Developed,Total
Dothan__AL,0,420,0,38767,32894,14543,7889,0,5206,19474,2260,13199,817,6963,11689,5932,168,46659,19469,38767,32894,22432,160221
Ozark__AR,0,70,0,633,2034,829,189,0,111,392,91,9,5,3082,0,31,6,710,3087,633,2034,1018,7482
Wolf_Point__MT,0,0,0,356,1445,1075,288,0,0,0,0,0,267,0,16,5,31,36,283,356,1445,1363,3483
Wrightstown__WI,0,224,0,633,1128,553,139,0,182,0,8,9,67,616,757,215,14,652,1440,633,1128,692,4545
St__Joseph__MO__KS,0,424,0,28209,34920,19547,11166,0,10059,14,14,80,2854,6790,6230,293,51,10935,15874,28209,34920,30713,120651
La_Crosse__WI__MN,0,5319,0,17476,39516,29305,9167,115,19327,170,0,217,642,3533,15492,6028,4312,35373,19667,17591,39516,38472,150619
Arcadia__LA,0,26,0,2556,2733,676,266,0,71,680,187,420,137,42,0,39,0,1423,179,2556,2733,942,7833
McKinney__TX,0,1071,0,36318,44140,51288,11678,194,11821,739,0,30,32275,6475,17974,870,44,14575,56724,36512,44140,62966,214917
Kennewick__Pasco__WA,0,20541,0,42972,89681,73929,6027,0,51,75,14,37503,887,4404,37013,1818,521,60523,42304,42972,89681,79956,315436
Lake_Arrowhead__Crestline__CA,0,3425,0,17924,1860,1056,168,94,16,23701,2109,1713,377,0,0,88,17,31069,377,18018,1860,1224,52548
Huntingburg__IN,0,59,0,1987,2023,882,453,0,947,17,0,0,23,529,686,0,0,1023,1238,1987,2023,1335,7606
Pikeville__KY,0,339,0,2358,4447,3960,1569,108,4177,73,211,38,631,1259,159,41,0,4879,2049,2466,4447,5529,19370
Boscobel__WI,0,0,0,371,2007,505,59,0,94,136,0,0,71,222,917,9,0,239,1210,371,2007,564,4391
Lonoke__AR,0,6,0,2692,987,747,266,0,35,17,5,0,0,24,282,20,0,83,306,2692,987,1013,5081
Kankakee__IL,0,2899,0,10501,42344,18404,6450,791,2340,0,792,107,1895,2792,19232,940,20,7098,23919,11292,42344,24854,109507
Owensboro__KY,0,637,0,21315,25386,11809,4760,0,9075,1578,17,238,479,2748,19492,153,209,11907,22719,21315,25386,16569,97896
Mobridge__SD,0,2,0,810,1920,1228,374,0,0,0,0,0,638,0,0,0,0,2,638,810,1920,1602,4972
Presidio__TX,0,0,0,664,2990,871,160,0,0,0,0,1499,0,0,103,9,0,1508,103,664,2990,1031,6296
Gooding__ID,0,0,0,620,1559,892,334,0,0,0,0,5,0,0,481,0,0,5,481,620,1559,1226,3891
New_Baden__IL,0,0,0,588,1507,699,85,0,0,0,0,0,0,127,721,17,0,17,848,588,1507,784,3744
Albany__OR,0,364,0,7349,18787,17061,7893,49,140,476,898,261,1549,10391,1262,2481,194,4814,13202,7398,18787,24954,69155
Omaha__NE__IA,0,14374,0,131896,282577,144244,71585,48,22548,37,0,57,43611,4465,71955,5457,1980,44453,120031,131944,282577,215829,794834
Pine_Bluff__AR,0,781,0,14881,37918,16965,7600,17,4372,11367,1780,3493,244,980,2555,4473,11,26277,3779,14898,37918,24565,107437
Brookville__PA,0,52,0,3851,2334,1020,268,7,1809,108,256,0,167,544,545,0,5,2230,1256,3858,2334,1288,10966
DeWitt__AR,0,0,0,2784,950,672,201,0,129,12,858,0,0,0,317,367,5,1371,317,2784,950,873,6295
Lake_Jackson__Angleton__TX,0,1753,0,24052,30116,22819,15159,466,4603,1149,270,1508,3931,6072,122,7292,4324,20899,10125,24518,30116,37978,123636
Pottsville__PA,0,1262,0,12944,12535,7157,3070,536,22745,647,836,30,226,4526,785,0,0,25520,5537,13480,12535,10227,67299
Hagerstown__MD__WV__PA,0,2960,0,62090,82756,31231,12211,569,56583,3918,2803,74,2201,94033,30475,1985,410,68733,126709,62659,82756,43442,384299
Iron_Mountain__Kingsford__MI__WI,0,1076,0,11635,10810,7011,3634,79,9517,1056,2346,219,1451,19,504,3045,149,17408,1974,11714,10810,10645,52551
Durham__NC,0,2444,0,184584,88059,45770,12722,594,88717,46818,10969,4414,11997,11474,284,17760,252,171374,23755,185178,88059,58492,526858
Muskegon__MI,0,17052,0,76318,74719,40742,18592,4115,56040,7028,7317,2782,10390,515,2168,17724,3131,111074,13073,80433,74719,59334,338633
Irrigon__OR,0,0,0,2004,2161,496,13,0,0,0,0,278,0,6,15,0,0,278,21,2004,2161,509,4973
State_College__PA,0,17,0,21570,20939,6696,2327,59,12257,620,155,0,0,7529,10805,0,0,13049,18334,21629,20939,9023,82974
Lock_Haven__PA,0,436,0,7163,6218,2261,969,34,5793,506,1293,94,43,2894,2680,218,261,8601,5617,7197,6218,3230,30863
Nashua__NH__MA,0,11253,0,68826,92625,76179,18989,3814,104240,65325,8371,8171,3314,22335,3274,37358,10200,244918,28923,72640,92625,95168,534274
Chatfield__MN,0,0,0,775,1302,547,131,0,489,0,0,0,248,873,85,1,0,490,1206,775,1302,678,4451
Sarasota__Bradenton__FL,0,85019,0,234540,269364,186782,50566,2329,186,13260,629,9845,8179,18071,13681,129720,36939,275598,39931,236869,269364,237348,1059110
Garnett__KS,0,41,0,1536,2417,631,201,0,34,0,8,0,0,786,54,0,0,83,840,1536,2417,832,5708
Jean_Lafitte__LA,0,877,0,294,1287,245,76,39,22,19,17,46,182,0,0,1529,1563,4073,182,333,1287,321,6196
Rayne__LA,0,0,0,1544,7139,701,340,4,13,0,35,132,438,1953,2253,171,5,356,4644,1548,7139,1041,14728
Rayville__LA,0,2,0,2481,1581,865,365,0,14,95,286,0,0,0,1453,320,65,782,1453,2481,1581,1230,7527
Port_Clinton__OH,0,5642,0,9348,12913,6362,2368,942,3652,55,0,0,204,0,3438,0,4403,13752,3642,10290,12913,8730,49327
New_Martinsville__WV__OH,0,1315,0,2797,2795,1917,1369,14,1975,43,17,0,109,571,72,0,0,3350,752,2811,2795,3286,12994
Pittsburgh__PA,0,43014,0,591638,551968,330807,149082,4308,818098,4808,1504,102,11459,110096,33499,625,151,868302,155054,595946,551968,479889,2651159
Newark__NY,0,345,0,5080,3751,1376,649,46,2621,214,866,207,104,3753,1292,837,127,5217,5149,5126,3751,2025,21268
Galveston__TX,0,2348,0,1796,4314,14648,10970,343,0,0,0,39,458,0,0,289,1508,4184,458,2139,4314,25618,36713
McGehee__AR,0,100,0,2471,1658,635,368,0,31,125,488,130,0,35,1340,388,5,1267,1375,2471,1658,1003,7774
Havelock__NC,0,772,0,11102,8643,5242,2986,118,128,3200,465,2032,795,20,104,3399,323,10319,919,11220,8643,8228,39329
Talladega__AL,0,36,0,9962,6602,1996,900,42,4960,4012,1703,748,1251,2805,335,44,32,11535,4391,10004,6602,2896,35428
Madera__CA,0,0,0,11890,11448,12892,2729,66,0,0,0,0,13694,1028,10675,0,0,0,25397,11956,11448,15621,64422
Firestone__Frederick__CO,0,331,0,3448,5725,4826,300,23,92,8,0,0,1682,2509,10410,72,74,577,14601,3471,5725,5126,29500
Long_Neck__DE,0,3685,0,8765,9196,3156,566,21,4458,1502,2534,1216,79,574,9077,3500,4503,21398,9730,8786,9196,3722,52832
Jasper__GA,0,136,0,7064,3700,1824,553,6,7943,760,666,148,530,2028,0,40,14,9707,2558,7070,3700,2377,25412
St__Maries__ID,0,130,0,443,1127,651,163,13,4,518,0,465,131,0,0,39,112,1268,131,456,1127,814,3796
Shelley__ID,0,37,0,1729,1914,691,153,0,0,0,0,6,20,0,1418,1,0,44,1438,1729,1914,844,5969
Aledo__IL,0,28,0,1055,2621,961,464,0,148,0,0,0,0,34,1111,0,0,176,1145,1055,2621,1425,6422
Benton__IL,0,9,0,2728,5974,1933,520,0,476,0,0,0,128,242,192,0,0,485,562,2728,5974,2453,12202
Smithton__IL,0,240,0,852,2887,1081,92,0,281,0,0,0,0,387,1315,0,24,545,1702,852,2887,1173,7159
Robinson__IL,0,83,0,3596,5983,2114,1156,0,466,0,0,0,247,186,1700,13,0,562,2133,3596,5983,3270,15544
Casey__IL,0,7,0,1087,2443,587,286,17,29,0,0,0,70,72,318,0,0,36,460,1104,2443,873,4916
Batesville__IN,0,222,0,3418,2646,1256,776,0,5076,160,0,0,134,2043,1748,0,20,5478,3925,3418,2646,2032,17499
Kokomo__IN,0,696,0,20296,29473,13098,6726,387,4776,11,0,268,728,615,26504,355,683,6789,27847,20683,29473,19824,104616
Carrollton__KY,0,231,0,2482,1972,851,516,4,2102,37,0,0,0,1678,788,5,0,2375,2466,2486,1972,1367,10666
Silver_City__NM,0,0,0,3510,5645,4557,740,38,0,1663,0,12936,150,0,0,5,35,14639,150,3548,5645,5297,29279
Kearney__NE,0,338,0,5581,12915,9207,2875,102,283,0,0,0,1666,17,5273,233,107,961,6956,5683,12915,12082,38597
Central_City__NE,0,0,0,861,2626,684,300,0,0,0,0,0,19,0,242,55,0,55,261,861,2626,984,4787
Ada__OK,0,97,0,7046,10097,4280,2377,31,5179,14,0,0,4942,229,0,0,0,5290,5171,7077,10097,6657,34292
Stigler__OK,0,0,0,1833,1199,568,348,0,148,9,41,8,67,2374,0,29,0,235,2441,1833,1199,916,6624
Greenwood__SC,0,787,0,36062,14720,7348,2976,146,18284,9562,351,793,3869,5818,0,771,32,30580,9687,36208,14720,10324,101519
Winnsboro__SC,0,0,0,3831,2297,804,336,10,2137,1277,43,5,255,124,0,11,0,3473,379,3841,2297,1140,11130
Arcade__NY,0,0,0,1611,900,311,122,0,1341,33,37,51,1,1323,635,359,78,1899,1959,1611,900,433,6802
Wurtsboro__NY,0,57,0,2023,901,278,37,0,5621,40,1932,161,0,483,124,1162,13,8986,607,2023,901,315,12832
Las_Vegas__NM,0,23,0,2925,4943,3144,492,6,9,324,0,2573,10147,1,160,839,2269,6037,10308,2931,4943,3636,27855
Troy__NC,0,2,0,2366,1360,732,418,0,1859,342,169,182,468,220,0,7,0,2561,688,2366,1360,1150,8125
Elizabethtown__NC,0,7,0,1989,1613,592,281,0,0,323,259,993,125,0,116,758,3,2343,241,1989,1613,873,7059
Ogdensburg__NY,0,383,0,1774,3612,3276,825,390,1156,0,0,158,670,208,358,338,81,2116,1236,2164,3612,4101,13229
Medina__NY,0,423,0,3289,2975,1023,420,5,2522,5,237,71,65,2200,768,613,66,3937,3033,3294,2975,1443,14682
Nowata__OK,0,0,0,2803,2199,510,269,0,88,0,0,0,589,134,0,0,0,88,723,2803,2199,779,6592
Minden__LA,0,76,0,5861,11250,2993,1284,41,421,2652,973,1427,150,592,38,578,21,6148,780,5902,11250,4277,28357
Livermore_Falls__ME,0,140,0,979,1345,923,301,0,475,338,1070,151,27,140,2,130,33,2337,169,979,1345,1224,6054
Saginaw__MI,0,2881,0,39264,62006,35188,16361,1372,12686,523,894,235,539,8860,22357,4406,509,22134,31756,40636,62006,51549,208081
Montevideo__MN,0,86,0,1997,2939,1345,535,5,171,0,0,0,53,2,809,46,269,572,864,2002,2939,1880,8257
St__Francis__MN,0,2419,0,3942,1736,1035,239,0,2957,165,6,35,300,631,1285,85,1397,7064,2216,3942,1736,1274,16232
Carthage__MS,0,8,0,2815,1680,747,195,0,1110,1425,1191,651,54,1535,124,435,44,4864,1713,2815,1680,942,12014
New_Albany__MS,0,72,0,4380,3910,1929,772,0,870,594,480,1183,23,1879,954,211,60,3470,2856,4380,3910,2701,17317
Crystal_Springs__MS,0,34,0,2219,2528,646,292,7,682,678,1013,1432,80,1569,91,147,9,3995,1740,2226,2528,938,11427
Sikeston__MO,0,46,0,4601,8685,4956,2181,0,60,8,6,0,0,427,2625,108,6,234,3052,4601,8685,7137,23709
Cassville__MO,0,0,0,2007,2269,797,335,9,1881,51,51,6,18,4392,0,16,4,2009,4410,2016,2269,1132,11836
Aurora__MO,0,10,0,2978,5326,1220,554,12,1681,57,0,128,7,4726,187,24,0,1900,4920,2990,5326,1774,16910
Chillicothe__MO,0,93,0,4079,6457,2185,978,0,950,0,48,5,209,3806,2747,119,5,1220,6762,4079,6457,3163,21681
Lampasas__TX,0,0,0,2769,2831,1164,633,0,409,298,0,271,547,0,0,121,0,1099,547,2769,2831,1797,9043
Charlestown__IN,0,21,0,2940,1610,669,238,0,2297,29,0,0,0,2342,35,0,0,2347,2377,2940,1610,907,10181
Wapakoneta__OH,0,516,0,4020,5631,2807,1092,0,729,5,5,0,134,97,3057,0,134,1389,3288,4020,5631,3899,18227
Ballinger__TX,0,18,0,1738,2247,978,531,0,15,24,0,237,6,0,2,0,0,294,8,1738,2247,1509,5796
Lake_Murray_North_Shore__SC,0,936,0,3410,1039,76,5,110,3145,4380,133,343,816,1624,39,23,0,8960,2479,3520,1039,81,16079
Cheraw__SC,0,123,0,5300,3865,1569,611,0,838,1291,138,153,1735,247,826,1502,37,4082,2808,5300,3865,2180,18235
Brookings__SD,0,12,0,9479,5855,4981,2075,0,71,0,0,28,1086,773,2663,0,114,225,4522,9479,5855,7056,27137
Shallowater__TX,0,0,0,743,1835,258,31,5,0,0,0,0,836,0,719,0,0,0,1555,748,1835,289,4427
Marlin__TX,0,151,0,4053,1755,1696,351,0,340,547,0,0,1103,822,272,0,0,1038,2197,4053,1755,2047,11090
Emerald_Bay__TX,0,489,0,3314,2507,632,75,30,404,2836,905,840,31,409,0,540,0,6014,440,3344,2507,707,13012
Decatur__TX,0,0,0,2547,4203,2794,1362,10,558,59,0,0,2682,262,0,0,0,617,2944,2557,4203,4156,14477
Sparta__TN,0,55,0,4601,5051,2862,933,4,1345,54,80,0,18,2481,774,21,0,1555,3273,4605,5051,3795,18279
Pittsburg__TX,0,13,0,1454,5490,1206,606,0,1094,283,42,281,172,1391,68,86,0,1799,1631,1454,5490,1812,12186
Lake_of_the_Woods__VA,0,2198,0,5010,1422,224,24,203,11220,618,183,498,192,768,781,259,45,15021,1741,5213,1422,248,23645
Oceana__WV,0,15,0,484,1313,754,79,30,1075,9,8,0,812,207,0,0,0,1107,1019,514,1313,833,4786
Warden__WA,0,0,0,267,853,881,270,0,0,0,0,237,0,0,278,0,0,237,278,267,853,1151,2786
Colfax__WA,0,0,0,791,1122,868,155,0,12,165,0,67,98,0,485,0,0,244,583,791,1122,1023,3763
Winters__TX,0,0,0,1449,1216,449,305,0,0,0,0,92,5,0,57,0,0,92,62,1449,1216,754,3573
Riverton__WY,0,1,0,3040,5585,4744,1464,0,7,0,0,2536,148,2141,111,358,315,3217,2400,3040,5585,6208,20450
Cody__WY,0,58,0,3366,6569,4150,715,0,6,116,1,2140,311,472,224,106,7,2434,1007,3366,6569,4865,18241
Portage__WI,0,421,0,1811,4705,2600,1255,0,1322,19,59,6,43,336,2167,520,1095,3442,2546,1811,4705,3855,16359
Bushnell__FL,0,0,0,2469,1377,690,368,10,67,1147,4,359,274,787,0,204,45,1826,1061,2479,1377,1058,7801
Baxley__GA,0,0,0,4317,5222,1508,772,27,198,1083,61,1162,481,196,259,877,126,3507,936,4344,5222,2280,16289
Almont__MI,0,0,0,1157,1037,439,122,0,369,6,1,0,0,145,634,287,21,684,779,1157,1037,561,4218
San_Manuel__AZ,0,0,0,324,1491,459,48,0,0,0,0,443,0,0,0,0,0,443,0,324,1491,507,2765
Hibbing__MN,0,43,0,3501,4202,3446,1311,57,951,12,270,248,108,486,75,611,26,2161,669,3558,4202,4757,15347
Stewartville__MN,0,24,0,705,2609,1127,247,0,7,7,0,0,604,297,1676,0,0,38,2577,705,2609,1374,7303
Newman__CA,0,0,0,665,1271,2794,295,0,0,0,0,0,76,37,327,0,0,0,440,665,1271,3089,5465
Brawley__CA,0,0,0,1082,5568,5415,769,185,0,7,31,3791,25,3139,2519,96,230,4155,5683,1267,5568,6184,22857
Breckenridge__CO,0,12,0,2675,3288,2692,369,129,532,7024,7,34,1145,0,0,873,19,8501,1145,2804,3288,3061,18799
Wellington__CO,0,39,0,932,2284,1402,115,0,0,0,0,0,295,216,2500,52,13,104,3011,932,2284,1517,7848
Greensboro__GA,0,81,0,1887,994,387,79,202,1044,681,178,65,338,617,0,11,0,2060,955,2089,994,466,6564
Belle_Glade__FL,0,66,0,5713,5140,2577,1146,5,0,5,5,5,399,0,7936,592,328,1001,8335,5718,5140,3723,23917
Ocilla__GA,0,39,0,1767,1445,485,339,0,312,462,80,28,279,409,172,160,80,1161,860,1767,1445,824,6057
Corydon__IN,0,40,0,2571,1489,1063,388,0,2424,25,8,0,0,1624,885,0,3,2500,2509,2571,1489,1451,10520
Greentown__IN,0,422,0,1727,1812,440,109,0,213,1,0,16,9,0,2046,26,37,715,2055,1727,1812,549,6858
Rathdrum__ID,0,69,0,766,2120,1489,69,49,0,859,0,900,452,0,659,0,22,1850,1111,815,2120,1558,7454
Davis_Junction__IL,0,0,0,792,1699,324,73,0,240,0,0,0,30,294,2834,0,0,240,3158,792,1699,397,6286
Breese__IL,0,23,0,1703,3579,1696,315,34,70,0,0,0,66,1708,4013,3,0,96,5787,1737,3579,2011,13210
Gilman__IL,0,43,0,1845,3302,792,258,5,0,0,0,0,56,0,1960,8,0,51,2016,1850,3302,1050,8269
Greenville__IL,0,17,0,3173,3695,1038,340,0,653,0,0,0,46,212,470,0,0,670,728,3173,3695,1378,9644
North_Webster__IN,0,871,0,1927,1773,415,91,32,950,92,0,36,152,0,3942,444,689,3082,4094,1959,1773,506,11414
Cambridge_City__IN,0,562,0,1982,2435,677,209,0,454,0,0,6,48,590,2252,10,40,1072,2890,1982,2435,886,9265
Delphi__IN,0,58,0,878,1695,746,367,0,556,0,0,0,56,0,227,125,5,744,283,878,1695,1113,4713
Bloomfield__IN,0,9,0,726,660,250,75,0,1151,3,0,0,16,356,219,0,7,1170,591,726,660,325,3472
Whiteriver__AZ,0,0,0,2975,1680,380,54,0,0,3043,0,6131,474,0,222,203,141,9518,696,2975,1680,434,15303
Incline_Village__NV__CA,0,91,0,9275,6403,1317,215,0,0,13648,0,3483,17,0,0,0,24,17246,17,9275,6403,1532,34473
Morro_Bay__Los_Osos__CA,0,257,0,5781,7889,9690,882,5,0,332,929,2337,3859,34,371,325,1886,6066,4264,5786,7889,10572,34577
Burlington__IA__IL,0,359,0,10821,18138,6181,2676,0,2434,0,19,16,109,1268,2323,413,21,3262,3700,10821,18138,8857,44778
Carbondale__IL,0,2367,0,33607,39524,14854,3730,46,22271,88,18,0,3293,15742,6459,680,116,25540,25494,33653,39524,18584,142795
Morehead_City__NC,0,1581,0,33281,32509,11168,2724,3056,20,13076,227,8517,3226,89,8296,12750,9193,45364,11611,36337,32509,13892,139713
New_Freedom__Shrewsbury__PA__MD,0,79,0,9421,3960,1336,447,5,3039,91,109,792,11,1888,6141,18,0,4128,8040,9426,3960,1783,27337
Winona__MS,0,13,0,2509,2160,824,251,0,1339,51,210,598,18,658,358,236,5,2452,1034,2509,2160,1075,9230
Watertown__MN,0,109,0,773,1219,1046,163,0,428,15,0,39,21,816,706,13,116,720,1543,773,1219,1209,5464
Lockport__NY,0,166,0,11905,10993,3767,2301,773,9257,94,582,352,533,9783,3535,1279,247,11977,13851,12678,10993,6068,55567
Gold_Beach__OR,0,468,0,801,1623,918,523,363,18,441,380,36,629,0,0,69,420,1832,629,1164,1623,1441,6689
Algoma__WI,0,67,0,444,1822,1004,340,65,0,0,0,0,9,920,478,266,11,344,1407,509,1822,1344,5426
Dermott__AR,0,0,0,2942,825,224,99,0,44,46,218,146,0,123,769,180,5,639,892,2942,825,323,5621
Green_Forest__AR,0,0,0,794,1316,542,133,14,473,12,28,0,17,1784,0,0,0,513,1801,808,1316,675,5113
Mendota__CA,0,0,0,648,1023,2097,269,80,0,0,0,0,297,0,1441,0,0,0,1738,728,1023,2366,5855
Wheatland__CA,0,0,0,316,563,713,54,0,0,0,0,0,65,216,189,0,61,61,470,316,563,767,2177
Los_Alamos__NM,0,0,0,4332,3240,1229,294,83,0,9435,0,4008,562,38,0,90,0,13533,600,4415,3240,1523,23311
Kinston__NC,0,367,0,17412,11962,5438,2289,383,1712,4711,1880,6472,2712,2623,20604,12400,1168,28710,25939,17795,11962,7727,92133
Auburn__NY,0,441,0,7745,9905,5056,2155,359,3417,90,573,1750,663,2591,1383,955,193,7419,4637,8104,9905,7211,37276
Emmetsburg__IA,0,21,0,1715,2296,596,246,0,0,0,0,0,151,45,373,0,0,21,569,1715,2296,842,5443
St__Marys__KS,0,12,0,714,1369,441,136,0,27,0,0,0,0,187,194,0,2,41,381,714,1369,577,3082
Abilene__KS,0,10,0,1249,4891,1235,529,0,116,0,0,0,899,23,706,64,0,190,1628,1249,4891,1764,9722
Horse_Cave__KY,0,12,0,2777,1190,901,318,0,1191,7,19,0,0,3137,185,0,0,1229,3322,2777,1190,1219,9737
Glasgow__KY,0,28,0,7415,5028,2934,1020,27,6285,151,6,0,91,4691,164,0,0,6470,4946,7442,5028,3954,27840
South_Paris__ME,0,85,0,1881,2292,1677,840,38,306,966,1864,509,138,309,406,1835,70,5635,853,1919,2292,2517,13216
Leonardtown__MD,0,766,0,2889,1380,703,203,0,4869,360,861,197,70,660,3013,1685,611,9349,3743,2889,1380,906,18267
Perry__MI,0,161,0,1907,2104,780,122,241,897,271,49,17,48,1668,1323,966,33,2394,3039,2148,2104,902,10587
Vassar__MI,0,28,0,2278,2038,788,349,0,1819,149,84,22,156,328,482,355,21,2478,966,2278,2038,1137,8897
Monticello__Big_Lake__MN,0,4069,0,10928,9129,7411,2300,16,3643,353,17,314,841,4011,8037,45,931,9372,12889,10944,9129,9711,52045
Pine_Island__MN,0,11,0,1711,1429,530,182,0,0,0,0,0,156,258,947,624,6,641,1361,1711,1429,712,5854
Morton__MS,0,26,0,1221,1251,417,249,0,548,495,1249,813,43,268,0,198,0,3329,311,1221,1251,666,6778
Senatobia__MS,0,33,0,4945,2472,1311,448,0,321,93,123,331,0,636,98,227,0,1128,734,4945,2472,1759,11038
Sedalia__MO,0,276,0,7340,14825,6965,3815,10,3141,27,141,320,74,9695,7176,512,0,4417,16945,7350,14825,10780,54317
Wright_City__MO,0,61,0,882,1442,1056,301,0,958,92,23,12,0,794,687,93,3,1242,1481,882,1442,1357,6404
Vandalia__MO,0,0,0,844,1493,618,184,0,7,0,0,0,0,328,49,0,0,7,377,844,1493,802,3523
Savannah__MO,0,20,0,2231,2701,757,292,0,283,0,0,0,99,701,1402,9,0,312,2202,2231,2701,1049,8495
Ashland__NE,0,188,0,318,1540,491,150,2,116,0,0,0,415,0,369,34,0,338,784,320,1540,641,3623
Holdrege__NE,0,72,0,633,3504,1440,544,0,0,0,0,0,301,0,291,15,0,87,592,633,3504,1984,6800
Minden__NE,0,5,0,348,2050,781,299,0,0,0,0,0,337,0,287,7,0,12,624,348,2050,1080,4114
Laughlin__NV,0,0,0,392,1269,1268,163,406,0,0,0,629,0,0,0,0,0,629,0,798,1269,1431,4127
Ravena__NY,0,10,0,2504,2104,1348,1382,0,2751,245,236,423,15,213,121,931,79,4675,349,2504,2104,2730,12362
Ithaca__NY,0,210,0,15609,9969,6707,2727,54,9003,1303,8461,2558,1064,10177,1550,1411,324,23270,12791,15663,9969,9434,71127
Attica__NY,0,0,0,1229,1238,455,113,57,257,37,258,115,118,1793,463,288,100,1055,2374,1286,1238,568,6521
Tulia__TX,0,16,0,1305,3232,787,254,0,5,0,0,0,1274,0,387,0,8,29,1661,1305,3232,1041,7268
South_Hill__VA,0,20,0,4129,2788,1105,609,0,1751,1269,503,180,270,1209,16,129,0,3852,1495,4129,2788,1714,13978
Covington__VA,0,515,0,3737,4961,3307,1283,0,8330,83,169,0,128,1022,30,0,0,9097,1180,3737,4961,4590,23565
Lawrenceville__VA,0,24,0,1795,1110,521,113,41,1108,757,69,13,157,1355,299,61,0,2032,1811,1836,1110,634,7423
Avalon__CA,0,21,0,711,274,218,124,29,0,6,147,2113,73,0,0,0,0,2287,73,740,274,342,3716
Show_Low__AZ,0,0,0,5283,4012,2281,442,35,0,10446,0,2459,502,0,184,7,19,12931,686,5318,4012,2723,25670
Olney__TX,0,0,0,1304,1880,1091,470,0,6,0,0,54,396,0,2,0,0,60,398,1304,1880,1561,5203
Perryton__TX,0,0,0,1616,5373,1261,380,10,0,0,0,1385,798,0,1337,40,43,1468,2135,1626,5373,1641,12243
Philippi__WV,0,3,0,1176,1030,475,86,34,1548,11,0,0,10,454,64,0,0,1562,528,1210,1030,561,4891
Lancaster__WI,0,0,0,723,2539,702,179,15,189,13,0,17,10,704,1260,0,0,219,1974,738,2539,881,6351
Ligonier__IN,0,90,0,1482,1717,671,451,0,72,0,0,97,19,172,957,621,0,880,1148,1482,1717,1122,6349
Gillette__WY,0,180,0,13612,13669,15102,3086,25,8,6,0,8252,16237,194,276,326,497,9269,16707,13637,13669,18188,71470
Mattoon__IL,0,60,0,3428,12279,5156,1831,33,139,0,0,0,60,591,7253,0,0,199,7904,3461,12279,6987,30830
Lake_Meade__PA,0,1180,0,2015,890,85,7,0,443,0,0,146,6,45,135,61,0,1830,186,2015,890,92,5013
La_Conner__WA,0,164,0,412,1682,993,238,329,23,930,61,43,138,125,4,8,29,1258,267,741,1682,1231,5179
Hornell__NY,0,41,0,2194,3248,2287,766,29,2853,76,274,114,540,556,1287,715,153,4226,2383,2223,3248,3053,15133
Jamestown__OH,0,848,0,1897,1968,467,119,0,77,0,0,0,19,337,748,0,47,972,1104,1897,1968,586,6527
Holdenville__OK,0,22,0,2202,2735,642,275,0,700,0,0,0,2067,744,0,0,0,722,2811,2202,2735,917,9387
Mount_Hood_Village__OR,0,254,0,2647,323,156,27,35,203,5953,933,944,472,246,46,9,0,8296,764,2682,323,183,12248
Okemah__OK,0,0,0,1668,1476,412,165,0,108,0,0,0,281,355,0,0,0,108,636,1668,1476,577,4465
Kenton__OH,0,9,0,2366,4220,1720,1125,7,159,0,0,0,75,0,1821,0,32,200,1896,2373,4220,2845,11534
Apple_Valley__OH,0,2206,0,5321,1105,124,12,0,5507,20,6,8,287,919,381,0,0,7747,1587,5321,1105,136,15896
Clyde__OH,0,199,0,1800,3338,1345,670,0,219,0,0,0,159,214,1611,0,0,418,1984,1800,3338,2015,9555
Oil_City__PA,0,697,0,5129,4714,1952,469,0,10413,238,964,403,179,1516,349,15,44,12774,2044,5129,4714,2421,27082
Chardon__OH,0,48,0,6754,4609,1182,388,0,9089,196,11,12,1967,1074,430,157,12,9525,3471,6754,4609,1570,25929
New_Wilmington__PA,0,93,0,821,944,304,44,0,524,54,0,0,89,227,416,25,0,696,732,821,944,348,3541
Kutztown__PA,0,7,0,1184,2211,1368,460,0,361,5,1,0,4,1629,1727,0,8,382,3360,1184,2211,1828,8965
Rio_Hondo__TX,0,198,0,1203,1584,545,125,21,126,0,0,602,193,965,5035,104,12,1042,6193,1224,1584,670,10713
Kerrville__TX,0,103,0,21401,9433,5463,2480,35,387,6170,0,4022,1113,106,0,11,0,10693,1219,21436,9433,7943,50724
Springtown__TX,0,0,0,1571,1260,532,303,0,525,0,0,0,1801,123,0,0,0,525,1924,1571,1260,835,6115
Plainview__TX,0,213,0,6285,13336,3693,2127,7,5,0,0,21,8603,0,6567,0,51,290,15170,6292,13336,5820,40908
Clyde__TX,0,0,0,3623,1564,428,167,0,92,51,0,1901,327,0,0,16,0,2060,327,3623,1564,595,8169
Ramona__CA,0,7,0,14231,8201,2174,123,25,0,101,96,11190,17145,0,308,60,323,11777,17453,14256,8201,2297,53984
Lake_Los_Angeles__CA,0,0,0,9163,1616,239,4,2417,0,0,0,3731,1575,13,0,5,14,3750,1588,11580,1616,243,18777
Barstow__CA,0,0,0,3033,11217,7618,1468,1483,8,0,7,10670,15,0,0,0,0,10685,15,4516,11217,9086,35519
